LATITUDE,LONGITUDE,Aug-22,Jan-23,Nov-22,Mar-22,WELL DEPTH
13.9605,77.6761,0.32,0.004044489,0.32,1.32,0.357884952
14.64487,77.3638,4.3,0.024700274,2.8,3.38,0.307905718
14.67769,77.4562,1.23,0.007366749,0.28,1.98,0.309943751
14.75411,77.71196,1.15,0.014914055,0.85,3.35,0.297211841
14.27033,77.6254,2.05,0.022461361,2.43,4.72,0.299509411
14.4138,77.71609,0.42,0.009244547,1.76,1.52,0.308316181
14.3864,77.7102,2.85,0.024483605,2.13,2.233333333,0.280893565
15.1179,77.64,5.93,0.034811498,2.82,3.66,0.269127309
15.1259,77.6346,7.76,0.056406182,2.82,3.66,0.265597809
13.9738,77.1648,0.2,0.023761375,1.15,4.8,0.46403379
13.956,77.1083,1.85,0.016900188,1.5,3.525,0.476440671
15.15571,77.3837,1.35,0.009100101,1.04,2.25,0.237998125
14.194,78.1656,0.79,0.008666763,1.05,0.89,0.236865645
14.5483,77.1071,5.48,0.014877943,1.57,3.55,0.328206
13.7752,77.6117,1.5,0.015816842,1.81,2.4,0.454691235
13.92059,77.2191,0.52,0.008738986,1.01,1.18,0.407988161
13.9411,77.276,0.25,0.004261158,0.55,0.45,0.404442491
13.9407,77.2632,4.4,0.042106023,0.55,0.45,0.410854667
14.3549,78.0366,0.08,0.000505561,0.01,0.14,0.266524653
13.987,78.1878,6.8,0.047450527,6.75,6.5,0.316345416
14.1031,78.0998,0.15,0.001372237,0.15,1.82,0.261912263
14.04526,78.0388,0.83,0.015744619,1.07,1.88,0.294300866
14.0217,77.9952,3.1,0.019427994,1.99,4.12,0.284320651
13.9425,77.9345,0.55,0.013289037,2.91,3.32,0.229572172
14.0863,77.5976,4.48,0.030117001,3.83,7.88,0.313388085
14.7054,76.8484,3.38,0.022316915,2.95,2.66,0.314531884
14.9088,77.9952,7.3,0.069261881,9.03,10.55,0.259803619
14.2421,78.25569,5.5,0.034883721,4.57,6.36,0.249411323
13.9171,78.196,5.9,0.045428283,6.6,6.33,0.322918489
14.851,77.2501,2.65,0.012205691,1.26,3.95,0.311215298
15.03043,77.38311,6.49,0.027083634,2.3,6.2,0.312566889
14.61188,78.0413,2.4,0.031850354,4.1,5.83,0.249218893
13.19563,79.004018,5.2,0.036617074,5.9,5.46,0.692425779
13.63705,79.900838,2.2,0.010472339,4.615,2.08,0.524455179
13.56087,79.249306,3.46,0.02340026,3.33,3.41,0.527387176
13.2075,79.098122,2.65,0.012133468,3.65,2.73,0.691778956
13.82753,78.78775,4.85,0.030767009,4.28,4.7,0.465157107
13.78668,78.7309,6.14,0.044706052,3.17,4.285,0.487152066
13.70517,78.77318,5.11,0.031128124,4.62,3.87,0.525516778
13.72281,78.86358,6.57,0.035750397,5.21,3.455,0.525516778
13.52126,79.380715,2.76,0.01408349,2.39,3.04,0.504617376
13.45656,79.963752,2.99,0.016177958,2.83,2.57,0.576835476
13.67682,78.46081,9.9,0.051928355,8.46,3.436666667,0.352902256
13.65967,78.48868,3.49,0.017622418,10.84,4.303333333,0.431589668
13.59343,78.52698,7.32,0.042900477,2.2,5.17,0.477941032
13.55127,78.52983,2,0.101328904,2.2,3.38,0.467625816
13.51068,78.47652,12.54,0.159757331,27.15,3.89,0.383949778
13.55638,78.50148,8.65,0.097789975,23.81,4.4,0.407780638
13.36953,79.814331,1,0.031128124,5,4.91,0.728325016
13.39547,79.777029,2.45,0.012494583,2.21,3.76,0.704287172
13.33126,79.622202,3.45,0.007113968,2.8,3.27,0.745329733
13.64421,78.70485,1.45,0.001733353,0.7,1.59,0.524455179
13.57053,78.66868,1.5,0.005705619,7.71,2.8,0.526309137
13.47804,79.048154,0.71,0.014227936,0.4,4.01,0.586815422
13.14776,78.661174,1.03,0.012205691,1.03,1.41,0.603347958
13.10369,78.752912,2.3,0.016611296,3.28,4.48,0.592452487
13.1991,78.745144,0.29,0.001733353,0.17,0.93,0.690916524
13.7738,78.22435,0.35,0.003177813,1.895,2.28,0.69448672
13.56865,79.01537,3.89,0.023255814,3.62,3.63,0.527171568
