District,Latitude,Longitude,elevation,WELL DEPTH,AQUIFER,WELL TYPE,Ground water level (mbgl)
Adilabad,19.663259,78.555315,256,21.1204,Basalt,Bore Well,34.32
Agra,27.17568,78.008109,170,12.5245,Basalt,Tube Well,5.47
Ahmadabad,23.026157,72.589687,51,25.813375,Basalt,Tube Well,4.7575
Ahmadnagar,19.093412,74.746855,657,39.10225,Basalt,Tube Well,4.045
Aizawl,23.748659,92.728016,937,52.391125,Basalt,Tube Well,3.3325
Ajmer,26.460578,74.641756,488,65.68,Unconfined to Semi Confined,Dug Well,2.62
Akola,20.710576,77.00373,286,41.0795,Alluvium,Dug Well,12.73
Alappuzha,9.501632,76.329606,9,95.4561,Semi Confined,Dug Well,3.81
Aligarh,27.875204,78.068216,189,12.5245,Basalt,Dug Well,5.17
Allahabad,25.45399,81.851869,96,12.5245,Basalt,Dug Well,8.87
Almora,29.603844,79.665557,1488,42.06224999999999,Basalt,Dug Well,30.79
Alwar,27.566581,76.610602,277,71.6,Semi-Confined To Confined,Tube Well,52.71
Ambala,30.376076,76.78821,275,86.1,Semi-Confined To Confined,Dug Well,1.35
Ambedkar Nagar,26.413411,82.54027,90,12.5245,Basalt,Dug Well,4.32
Amravati,20.937346,77.760249,346,33.223,Alluvium,Dug Well,3.55
Amreli,21.598002,71.216081,120,113.656,Lathi Formation,Dug Well,5.67
Amritsar,31.623088,74.87248,233,66.74,Unconfined to Semi Confined,Dug Well,15.05
Anand,22.566883,72.953775,39,73.7041,Unconfined,Dug Well,26.13
Anantapur,14.679395,77.598252,349,140.9306,Semi confined,Dug Well,0.57
Anantanag,33.738528,75.16328,1630,123.4596,Semi confined,Dug Well,1.6824999999999997
Andamans,11.660569,92.741136,30,105.98859999999999,Semi confined,Dug Well,2.7949999999999995
Anjaw,27.894204,96.790213,1415,88.5176,Semi confined,Dug Well,3.9074999999999993
Anugul,20.836481,85.099192,130,71.0466,Qtz./Schist,Dug Well,5.02
Anuppur,23.097789,81.701139,497,37.31517059,Limestone,Dug Well,3.17
Araria,26.137794,87.464469,53,36.152,Basalt,Dug Well,4.14
Ashok Nagar,24.568718,77.728572,491,25.95733333,SANDSTONE,Bore Well,7.44
Auraiya,26.460045,79.519467,139,12.5245,Basalt,Tube Well,18.97
Aurangabad,24.749745,84.379225,114,40.58,Basic Rocks (Basalt),Dug Well,2.12
Aurangabad,19.885543,75.333441,578,40.58,Basic Rocks (Basalt),Dug Well,2.12
Azamgarh,26.053641,83.181213,78,12.5245,Basalt,Dug Well,5.84
Bagalkot,16.202963,75.707787,525,29.94,Qtz./Schist,Dug Well,3.87
Bageshwar,29.842812,79.770905,1019,21.23225,Qtz./Schist,Dug Well,13.675
Baghpat,28.934887,77.226645,220,12.5245,Basalt,Tube Well,23.48
Bahraich,27.577746,81.598143,123,12.5245,Basalt,Dug Well,1.6
Balaghat,21.815447,80.1932,308,72.39137892,Basic Rocks (Basalt),Dug Well,6.55
Balangir,20.705399,83.496116,180,71.0466,Qtz./Schist,Dug Well,4.7
Baleshwar,21.492432,86.922744,19,28.25,Qtz./Schist,Dug Well,1.0
Ballia,25.760427,84.155791,63,12.5245,Basalt,Dug Well,4.25
Balrampur,27.424362,82.195912,105,12.5245,Basalt,Dug Well,2.8
Banas Kantha,24.185024,72.444088,219,12.5245,Basalt,Dug Well,2.505
Banda,25.467372,80.325071,116,12.5245,Basalt,Dug Well,2.21
Bangalore,12.97708,77.596173,918,23.6295,Basalt,Dug Well,2.19
Banka,24.880617,86.919712,85,34.7345,Basalt,Dug Well,2.17
