STATE/UT,DISTRICT,TEHSIL,VILLAGE,SITE,WELL DEPTH,AQUIFER,pH,electrical conductivity,TDS (mg/l),Total Hardness (mg/l),Calcium (mg/l),Magnesium (mg/l),Sodium (mg/l),Potassium (mg/l),Carbonate (mg/l),Bicarbonate (mg/l),Sulphate (mg/l),Chloride (mg/l),Fluoride (mg/l),Nitrate (mg/l),Sodium (mg/l),LATITUDE,LONGITUDE,WELL TYPE,Jan-23,May-22,Aug-22,Nov-22
Andhra Pradesh,Anantapur,Amarapuram,Palasamudram,Palasamudram,140.9306,Semi confined,7.255397261,3.031509159,0.632610093,0.439275744,105.5923819,26.85744571,522.0340765,34.15150815,56.41178804,70.23599453,6.567827047,348.4150842,0.921150559,6.646349629,184.4037325,13.9605,77.6761,Dug Well,0.57,1.32,0.32,0.32
Andhra Pradesh,Anantapur,Atmakur,Atmakur,Atmakur-PZ,122.3861,Semi Confined,7.255397261,3.516313206,0.443519229,0.331876376,105.5923819,29.45940196,522.0340765,31.72664423,20.67766675,46.31961288,10.75526076,416.88463,0.811429459,3.01533784,226.9449323,14.6449,77.3638,Bore Well,3.43,3.38,4.3,2.8
Andhra Pradesh,Anantapur,Atmakur,Waddipalli,Waddipalli,123.1423,Semi Confined,7.255397261,4.800427004,0.349548925,0.222113112,105.5923819,38.62460965,522.0340765,18.00993466,46.03735076,52.65321756,11.89296618,393.8592377,0.743986633,6.464267389,213.4903054,14.6777,77.4562,Dug Well,1.03,1.98,1.23,0.28
Andhra Pradesh,Anantapur,Chennakothapalle,Chenna Kothapalli,Chenna Kothapalli-PZ,119.2707,Semi confined,7.255397261,3.586427934,0.407877127,0.243749211,105.5923819,32.31290506,522.0340765,34.14191517,11.58345316,37.47051997,5.199312178,392.8670153,0.836458959,7.294739922,236.1180427,14.2703,77.6254,Bore Well,3.12,4.72,2.05,2.43
Andhra Pradesh,Anantapur,Dharmavaram,Dharmavaram,Dharmavaram,122.5384,Semi confined,7.255397261,3.210615728,0.368202019,0.269891493,105.5923819,35.747223,522.0340765,30.65833256,57.22780615,145.2831441,7.486865135,170.7787164,0.871236076,3.679204039,230.0645547,14.4138,77.7161,Dug Well,1.29,1.52,0.42,1.76
Andhra Pradesh,Anantapur,Gooty,Gooty,Gooty-alt,107.9976,Semi confined,7.255397261,1.789798616,0.497817897,0.179847837,105.5923819,28.36419757,522.0340765,27.0232077,55.27715372,49.53499038,23.59197786,349.78613,1.023834774,4.5606253,230.9977557,15.1179,77.64,Dug Well,4.83,3.66,5.93,2.82
Andhra Pradesh,Anantapur,Gudibanda,Budipalli,Budipalli,180.3165,Semi Confined,7.255397261,1.979817014,0.734922308,0.224973888,105.5923819,28.35013156,522.0340765,34.09471537,20.34059582,84.09708734,9.370393262,434.0058368,0.737421397,6.057428449,222.5805629,13.9738,77.1648,Dug Well,3.3,4.8,0.2,1.15
Andhra Pradesh,Anantapur,Guntakal,Guntakal,Guntakal2,96.4473,Semi Confined,7.255397261,2.055667945,0.421641625,0.147037282,105.5923819,29.46396313,522.0340765,19.59535608,41.88680593,49.76761007,4.902096624,373.8720442,0.893845205,9.269008396,200.740369,15.1557,77.3837,Dug Well,1.27,2.25,1.35,1.04
Andhra Pradesh,Anantapur,Kadiri,Alampur,Alampur,96.0271,Semi confined,7.255397261,2.934796976,0.454286645,0.382035605,105.5923819,31.35328212,522.0340765,22.257221,47.98642024,89.80598347,12.28172882,450.7642884,0.814179368,5.063378776,227.7744256,14.194,78.1656,Dug Well,1.21,0.89,0.79,1.05
Andhra Pradesh,Anantapur,Kalyandurg,Kalyandurg-Alt,Kalyandurg-alt,129.9184,Semi Confined,7.255397261,2.155890016,0.51386297,0.11457132,105.5923819,43.41069601,522.0340765,33.09784789,35.79875396,67.53836883,25.4311358,230.2477046,0.94774337,3.345720895,241.7655549,14.5483,77.1071,Dug Well,2.07,3.55,5.48,1.57
