STATE/UT,DISTRICT,TEHSIL,VILLAGE,SITE,WELL DEPTH,AQUIFER,pH,electrical conductivity,TDS (mg/l),Total Hardness (mg/l),Calcium (mg/l),Magnesium (mg/l),Sodium (mg/l),Potassium (mg/l),Carbonate (mg/l),Bicarbonate (mg/l),Sulphate (mg/l),Chloride (mg/l),Fluoride (mg/l),Nitrate (mg/l),LATITUDE,LONGITUDE,WELL TYPE,Jan-23,Mar-22,Aug-22,Nov-22
Andhra Pradesh,Anantapur,Amarapuram,Palasamudram,Palasamudram,140.9306,Semi confined,7.255397261,243.4187789,1963.595582,97.39431314,105.5923819,26.85744571,123.3305506,10.24545245,177.6971323,56.18879562,236.4417737,348.4150842,0.557296088,48.80947621,13.9605,77.6761,Dug Well,0.57,1.32,0.32,0.32
Andhra Pradesh,Anantapur,Atmakur,Atmakur,Atmakur-PZ,122.3861,Semi Confined,7.255397261,76.2119385,346.8446183,114.2637099,105.5923819,29.45940196,123.3305506,9.517993269,173.6924007,46.31961288,387.1893874,416.88463,4.057147295,18.09202704,14.6449,77.3638,Bore Well,3.43,3.38,4.3,2.8
Andhra Pradesh,Anantapur,Atmakur,Waddipalli,Waddipalli,123.1423,Semi Confined,7.255397261,2157.321188,859.2994099,130.2247684,105.5923819,38.62460965,123.3305506,18.00993466,96.6784366,52.65321756,240.8325651,393.8592377,0.743986633,46.22483047,14.6777,77.4562,Dug Well,1.03,1.98,1.23,0.28
Andhra Pradesh,Anantapur,Chennakothapalle,Chenna Kothapalli,Chenna Kothapalli-PZ,119.2707,Semi confined,7.255397261,52.39753056,563.7537241,138.1344528,105.5923819,32.31290506,123.3305506,10.24257455,187.6519412,74.94103994,374.3504768,392.8670153,1.672917918,36.47369961,14.2703,77.6254,Bore Well,3.12,4.72,2.05,2.43
Andhra Pradesh,Anantapur,Dharmavaram,Dharmavaram,Dharmavaram,122.5384,Semi confined,7.255397261,59.70615662,599.6295458,219.5045458,105.5923819,35.747223,123.3305506,9.197499768,68.67336738,72.64157205,269.5271449,170.7787164,0.871236076,48.24009557,14.4138,77.7161,Dug Well,1.29,1.52,0.42,1.76
Andhra Pradesh,Anantapur,Gooty,Gooty,Gooty-alt,107.9976,Semi confined,7.255397261,31.1163347,201.057854,118.3172674,105.5923819,28.36419757,123.3305506,8.10696231,174.1230342,99.06998076,212.3278007,349.78613,2.559586935,27.3637518,15.1179,77.64,Dug Well,4.83,3.66,5.93,2.82
Andhra Pradesh,Anantapur,Gudibanda,Budipalli,Budipalli,180.3165,Semi Confined,7.255397261,162.7687716,409.9187984,84.03706957,105.5923819,28.35013156,123.3305506,10.22841461,128.1457537,67.27766987,337.3341574,434.0058368,0.306721212,46.30847289,13.9738,77.1648,Dug Well,3.3,4.8,0.2,1.15
Andhra Pradesh,Anantapur,Guntakal,Guntakal,Guntakal2,96.4473,Semi Confined,7.255397261,365.47171,868.7834234,147.2842866,147.2842866,147.2842866,147.2842866,19.59535608,87.96229245,99.53522014,352.9509569,373.8720442,4.469226025,27.80702519,15.1557,77.3837,Dug Well,1.27,2.25,1.35,1.04
Andhra Pradesh,Anantapur,Kadiri,Alampur,Alampur,96.0271,Semi confined,7.255397261,56.2196037,341.2448059,137.0049003,105.5923819,31.35328212,123.3305506,6.6771663,50.38574125,71.84478678,248.7050086,450.7642884,1.628358736,45.06802133,14.194,78.1656,Dug Well,1.21,0.89,0.79,1.05
Andhra Pradesh,Anantapur,Kalyandurg,Kalyandurg-Alt,Kalyandurg-alt,129.9184,Semi Confined,7.255397261,277.4103533,243.9374497,148.9905243,105.5923819,43.41069601,123.3305506,9.929354367,75.17738332,54.03069506,228.8802222,230.2477046,1.042517707,20.07432537,14.5483,77.1071,Dug Well,2.07,3.55,5.48,1.57
Andhra Pradesh,Anantapur,Lepakshi,Kanchisamudram,Kanchisamudram- DW13,176.85,Semi Confined,7.255397261,1615.790837,727.1593226,208.4598025,105.5923819,33.96827713,123.3305506,9.582481056,94.84782993,133.075814,295.4379344,365.0383109,4.630773131,45.21946061,13.7752,77.6117,Dug Well,2.2,2.4,1.5,1.81
Andhra Pradesh,Anantapur,Madakasira,Kothalagutta-Dw,Kothalagutta-DW,159.5211,Granite,7.255397261,268.9046293,553.3435447,142.755781,105.5923819,29.79985957,123.3305506,8.466629112,127.0654821,110.977116,284.4883371,360.5529913,0.145742366,25.55598486,13.9206,77.2191,Dug Well,1.22,1.18,0.52,1.01
Andhra Pradesh,Anantapur,Madakasira,Madakasira,Madakasira1,158.2055,Semi Confined,7.255397261,50.75808804,375.4176141,113.5256452,105.5923819,41.33946149,123.3305506,6.528180204,144.309406,76.84721545,258.0988599,275.4262609,0.148886081,32.55651853,13.9411,77.276,Dug Well,0.6,0.45,0.25,0.55
Andhra Pradesh,Anantapur,Mudigubba,Adivi Brahmanapalli,Adivi Brahmanapalli,107.0319,Semi confined,7.255397261,1367.777535,735.4163772,135.0968336,105.5923819,35.22019747,123.3305506,7.613494566,60.5666775,60.51032312,293.1234306,298.6060541,0.148533836,9.922905316,14.3549,78.0366,Dug Well,0.08,0.14,0.08,0.01
Andhra Pradesh,Anantapur,Nallacheruvu,Nallacheruvu,Nallacheruvu 2013DW,125.5176,Semi confined,7.255397261,165.6209637,339.1318884,109.7626347,105.5923819,37.97542476,123.3305506,18.50447631,98.40387379,77.3939296,299.7784243,322.3817299,4.434780675,33.33360903,13.987,78.1878,Dug Well,6.58,6.5,6.8,6.75
Andhra Pradesh,Anantapur,Nallamada,Muthyalacherevu Poolabhavi,Muthyalacherevu Poolabhavi-DW14,105.3205,Semi confined,7.255397261,2067.436284,268.9886066,133.0754514,105.5923819,28.45522219,123.3305506,9.410139528,93.87386345,64.5801893,236.1272931,181.9050292,4.46272331,9.910926364,14.1031,78.0998,Dug Well,0.2,1.82,0.15,0.15
Andhra Pradesh,Anantapur,Penukonda,Penukonda,Penukonda,124.4203,Semi confined,7.255397261,185.4203922,367.2725505,198.4971762,105.5923819,38.50548504,123.3305506,6.195114294,152.9282731,92.3615752,364.0460267,432.6833278,4.325490019,43.18691466,14.0863,77.5976,Dug Well,4.18,7.88,4.48,3.83
Andhra Pradesh,Anantapur,Rayadurg,Rayadurg,Rayadurg-new,124.8447,Semi Confined,7.255397261,1823.141121,695.9399118,107.6711477,105.5923819,38.205872,123.3305506,6.502668204,66.7082965,57.07042431,349.5832877,463.5444604,4.680925044,43.89497314,14.7054,76.8484,Dug Well,3.1,2.66,3.38,2.95
Andhra Pradesh,Anantapur,Tadipatri,Tadipatri,Tadipatri-PZ,104.5381,Semi confined,7.255397261,143.8730241,273.2399843,86.1199359,105.5923819,27.55114796,123.3305506,21.16887356,93.80136058,64.73437015,237.8834361,365.8000373,4.294862285,8.008584468,14.9088,77.9952,Bore Well,9.6,10.55,7.3,9.03
Andhra Pradesh,Anantapur,Talupula,Talapula,Talapula-PZ,100.6821,Semi confined,7.255397261,223.8394015,822.5534903,101.781434,105.5923819,33.56535047,123.3305506,8.776569699,71.14085838,48.594286,212.4944806,451.1243792,0.07794091,49.35627171,14.2421,78.2557,Bore Well,4.84,6.36,5.5,4.57
Andhra Pradesh,Anantapur,Tanakal,Tanakallu,Tanakallu-PZ,127.9565,Semi confined,7.255397261,177.5122769,201.2253769,135.6634107,105.5923819,34.77809401,123.3305506,6.650241477,99.28059271,83.74551485,277.0711083,236.3893517,0.410423034,43.28882282,13.9171,78.196,Bore Well,6.3,6.33,5.9,6.6
Andhra Pradesh,Anantapur,Uravakonda,Amidala,Amidala,123.6141,Semi Confined,7.255397261,1255.715173,1088.871248,131.0141686,105.5923819,38.13228625,123.3305506,17.47786035,50.37888135,95.35866128,375.9477021,389.4776873,0.106176777,43.59830754,14.851,77.2501,Dug Well,1.7,3.95,2.65,1.26
Andhra Pradesh,Anantapur,Vajrakarur,Vajrakarur,Vajrakarur,124.1156,Semi Confined,7.255397261,62.69851604,317.4862591,79.53357295,105.5923819,37.08156999,123.3305506,18.6069673,50.52866668,57.3193909,249.9835848,320.2696423,0.068210412,21.42337803,15.0304,77.3831,Dug Well,3.76,6.2,6.49,2.3
Andhra Pradesh,Chittoor,Bangarupalem,Shankrantipalli,Shankrantipalli,265.06,Semi Confined,7.255397261,230.1130868,192.096738,107.8807876,105.5923819,31.42043905,123.3305506,6.435129171,93.57971954,38.31123831,278.938019,348.1257072,4.85274891,5.19121072,13.1956,79.004,Dug Well,5.08,5.46,5.2,5.9
Andhra Pradesh,Chittoor,Chandragiri,Mungilipattu,Mungilipattu,203.8234,Semi confined,7.255397261,117.547943,432.0014554,118.4684865,105.5923819,35.23442953,123.3305506,7.301544033,99.29474132,106.7741545,217.1470621,244.7690832,0.527706099,43.25329996,13.5609,79.2493,Dug Well,3.25,3.41,3.46,3.33
Andhra Pradesh,Chittoor,Kalakada,Kalakoda,Kalakoda,180.7333,Semi confined,7.255397261,156.6105841,1239.42963,142.9401492,105.5923819,36.81795569,123.3305506,23.88711865,63.4992806,69.65693061,220.5668966,322.2113613,4.18524233,23.25557053,13.8275,78.7878,Dug Well,4.27,4.7,4.85,4.28
Andhra Pradesh,Chittoor,Kammapalli,Balezapalli,BalezapalliDW15,195.3748,Semi confined,7.255397261,1332.409545,752.2748446,137.9399606,105.5923819,34.72908861,123.3305506,19.0076251,99.80852821,73.1185537,297.8465391,168.4717866,1.81405078,48.3787669,13.5213,79.3807,Dug Well,1.96,3.04,2.76,2.39
Andhra Pradesh,Chittoor,Madanapalle,Arogyavaram,Arogyavaram,185.4767,Semi confined,7.255397261,936.86148,628.1843854,125.8272703,105.5923819,33.2431347,123.3305506,6.866184063,128.6276072,84.01837415,258.572571,341.9224302,4.003292465,40.06216223,13.5934,78.527,Dug Well,5.95,5.17,7.32,2.2
Andhra Pradesh,Chittoor,Nagalapuram,Baitakodiambedu,Baitakodiambedu- DW13,278.3802,Semi confined,7.255397261,126.9579703,1508.670928,148.8852023,105.5923819,29.39802665,123.3305506,9.083478228,68.8303123,82.23630392,217.5978842,315.956618,4.52757495,47.11515603,13.3695,79.8143,Dug Well,4.32,4.91,1,5
Andhra Pradesh,Chittoor,Nagalapuram,Nagalapuram,Nagalapuram-DW13,269.4611,Semi confined,7.255397261,198.0039101,365.5083221,146.3729788,105.5923819,34.14205444,123.3305506,18.38660515,53.52209414,80.0466717,247.9473839,464.4670573,4.71339465,45.78843376,13.3955,79.777,Dug Well,1.74,3.76,2.45,2.21
Andhra Pradesh,Chittoor,Nimmanapalle,Chintaparti,Chintaparti-1,202.7355,Semi confined,7.255397261,725.5238354,620.9800822,80.57958218,105.5923819,31.58333484,123.3305506,19.25751737,98.49887838,71.48676695,267.798464,193.3045722,0.020141906,40.97190096,13.6442,78.7048,Dug Well,0.25,1.59,1.45,0.7
Andhra Pradesh,Chittoor,Pakala,Damalcheruvu,Damalcheruvu,225.8739,Semi confined,7.255397261,140.0755463,257.9972673,128.0241526,105.5923819,34.85588041,123.3305506,6.273907824,86.39368092,90.85806016,277.284798,412.8819376,0.549284358,46.18611186,13.478,79.0482,Dug Well,1.98,4.01,0.71,0.4
Andhra Pradesh,Chittoor,Palamaner,Duginevaripalli,Duginevaripalli,232.0082,Semi Confined,7.255397261,57.8129241,188.3682973,130.4161207,105.5923819,40.51921357,123.3305506,7.361326917,83.94634529,84.8510696,350.3587211,276.3640236,4.693071405,46.04813559,13.1478,78.6612,Dug Well,1.7,1.41,1.03,1.03
Andhra Pradesh,Chittoor,Palamaner,M.Kotur,M.Kotur-NQM,227.9655,Semi Confined,7.255397261,243.9419456,206.9328372,127.830209,105.5923819,36.48392169,123.3305506,9.30791154,72.0338061,62.69716285,284.0052151,455.7595396,0.042402749,47.95938555,13.1037,78.7529,Bore Well,2.31,4.48,2.3,3.28
Andhra Pradesh,Chittoor,Palamaner,Palamaneru,Palamaneru-2,264.5,Semi Confined,7.255397261,55.95218736,383.2418101,220.4738143,105.5923819,49.94668086,123.3305506,7.306933851,51.603716,79.5983529,219.1239513,163.6047129,0.042838943,8.302359932,13.1991,78.7451,Dug Well,0.25,0.93,0.29,0.17
