,Population,District,LATITUDE,LONGITUDE,Ground water level (mbgl)
0,973645.2000000001,Kupwara,21.64057715,80.84724989,6.314597628
1,121672.8,Badgam,21.64057715,80.84724989,6.314597628
2,169129.80000000002,Ladakh,21.64057715,80.84724989,6.314597628
3,155629.80000000002,Kargil,21.64057715,80.84724989,6.314597628
4,238980.6,Punch,18.6333,74.0611,5.35
5,121991.40000000001,Rajouri,33.2867,74.2834,3.36
6,271587.60000000003,Kathua,32.5565,75.6038,0.95
7,395843.4,Baramula,21.64057715,80.84724989,6.314597628
8,68385.6,Bandipore,21.64057715,80.84724989,6.314597628
9,2189444.4,Srinagar,21.64057715,80.84724989,6.314597628
10,163249.2,Ganderbal,26.21,83.92,3.35
11,146815.2,Pulwama,21.64057715,80.84724989,6.314597628
12,479187.0,Shupiyan,21.64057715,80.84724989,6.314597628
13,215791.2,Anantnag,21.64057715,80.84724989,6.314597628
14,514391.4,Kulgam,21.64057715,80.84724989,6.314597628
15,364888.8,Doda,30.3889,74.6333,1.84
16,225081.0,Ramban,21.64057715,80.84724989,6.314597628
17,233080.2,Kishtwar,21.64057715,80.84724989,6.314597628
18,496006.2,Udhampur,32.946,75.0348,2.6
19,266117.4,Reasi,33.165,74.553,2.09
20,450802.8,Jammu,32.8558,74.7467,14.41
21,574016.4,Samba,32.4919,75.0619,7.02
22,33962.4,Chamba,21.64057715,80.84724989,6.314597628
23,317745.0,Kangra,32.2692,75.8697,9.15
24,16000.2,Lahul & Spiti,22.9083,82.95,3.9
25,92989.8,Kullu,21.64057715,80.84724989,6.314597628
26,88842.6,Mandi,31.8292,77.1683,4.7
27,82812.6,Hamirpur,31.5225,76.5392,2.37
28,32124.600000000002,Una,31.6722,76.0458,29.58
29,161128.80000000002,Bilaspur,21.8953,82.0322,4.6
30,102434.40000000001,Solan,30.9056,76.84,19.44
31,88198.2,Sirmaur,23.9864,76.8161,7.2
32,139575.6,Shimla,25.0528,86.8611,2.38
33,8386.2,Kinnaur,21.64057715,80.84724989,6.314597628
34,97534.8,Gurdaspur,32.4036,75.8181,2.76
35,187837.2,Kapurthala ,21.64057715,80.84724989,6.314597628
36,299757.60000000003,Jalandhar,31.4292,75.6639,6.75
37,648909.0,Hoshiarpur,31.75,75.7417,15.37
38,762382.8,Shahid Bhagat Singh Nagar ,21.64057715,80.84724989,6.314597628
39,173093.4,Fatehgarh Sahib,30.7422,76.5181,34.97
40,402093.0,Ludhiana,30.7019,76.2186,24.91
41,307096.2,Moga,30.6178,75.0772,28.33
42,465188.4,Firozpur,30.8572,74.5781,5.97
43,626697.0,Muktsar,30.33,74.7142,10.89
44,821840.4,Faridkot,30.7394,74.8622,19.56
45,570004.2000000001,Bathinda,30.3389,74.7897,13.37
46,313621.2,Mansa,29.9283,75.5617,19.73
47,313146.0,Patiala,21.64057715,80.84724989,6.314597628
48,796879.8,Amritsar ,21.64057715,80.84724989,6.314597628
49,888525.0,Tarn Taran,21.64057715,80.84724989,6.314597628
50,350001.0,Rupnagar,31.3306,76.4,4.27
51,593573.4,Sahibzada Ajit Singh Nagar,21.64057715,80.84724989,6.314597628
52,773557.2000000001,Sangrur,30.3733,75.8556,42.26
53,699658.2000000001,Barnala,30.5228,75.5592,40.39
54,1899810.0,Chandigarh,30.7125,76.7853,22.02
55,60825.6,Uttarkashi,21.64057715,80.84724989,6.314597628
56,86763.6,Chamoli,21.64057715,80.84724989,6.314597628
57,156643.2,Rudraprayag,21.64057715,80.84724989,6.314597628
58,217395.0,Tehri Garhwal,21.64057715,80.84724989,6.314597628
59,89292.6,Dehradun,30.3006,77.9533,17.58
60,96640.2,Garhwal,22.9988,91.5536,1.8
61,83741.40000000001,Pithoragarh,21.64057715,80.84724989,6.314597628
62,116809.2,Bageshwar,21.64057715,80.84724989,6.314597628
63,126876.6,"Almora
",21.64057715,80.84724989,6.314597628
64,98143.2,Champawat,21.64057715,80.84724989,6.314597628
65,56802.6,Nainital,29.3114,79.21,55.39
66,509644.8,Udham Singh Nagar,19.2408,83.1119,4.1
67,1793419.2,Hardwar,21.64057715,80.84724989,6.314597628
68,302531.4,Panchkula,30.6417,77.0083,16.85
69,411744.60000000003,Ambala,30.3831,77.1592,21.82
70,1536359.4000000001,Yamunanagar,30.1958,77.1458,5.93
71,234316.80000000002,Kurukshetra,25.208,77.358,4.6
72,351451.8,Kaithal,29.9142,76.2606,46.3
73,372781.8,Karnal,29.8722,76.8444,35.68
