State,District,Actual (mm),Normal (mm),Deviation (mm),DISTRICT,LATITUDE,LONGITUDE,Ground Water level (mbgl),Refresh Rate
rajasthan,ganganagar,546.9,247.8,120.7,ganganagar,29.191,73.219,17.15,148.045
rajasthan,alwar,785.88,625.1,25.72,alwar,27.814,76.457,52.71,33.5788
rajasthan,dhaulpur,1213.67,682.3,77.88,dhaulpur,26.633,77.691,10.32,126.4268
rajasthan,rajsamand,814.5,529.1,53.94,rajsamand,25.241,73.956,9.58,86.52
rajasthan,pali,714.58,486.6,46.85,pali,25.158,73.216,7.9,75.4332
rajasthan,jaisalmer,479.3,164.5,191.37,jaisalmer,27.517,71.833,6.58,200.956
rajasthan,bundi,771.36,735.8,4.83,bundi,25.471,75.867,8.69,35.6844
rajasthan,baran,1245.52,872.4,42.77,baran,25.158,76.3,2.26,80.1356
rajasthan,jhalawar,1131.11,969.1,16.72,jhalawar,24.442,75.915,4.64,73.2755
rajasthan,banswara,1239.54,963.4,28.66,banswara,23.496,74.1,5.6,41.0554
rajasthan,bharatpur,945.92,650.6,45.39,bharatpur,26.904,77.376,2.9,54.8492
rajasthan,karauli,809.54,689.1,17.48,karauli,26.693,76.925,9.64,57.957
rajasthan,dausa,743.02,651.3,14.08,dausa,27.159,76.583,69.98,36.3706
rajasthan,sawai madhopur,812.36,757.6,7.23,sawai madhopur,26.55,76.561,2.79,23.4772
rajasthan,dungarpur,1004.7,728.2,37.97,dungarpur,23.958,74.079,10.2,48.017
rajasthan,hanumangarh,648.41,310.9,108.56,hanumangarh,29.183,75.325,10.6,121.5282
rajasthan,jodhpur,496.6,324.9,52.85,jodhpur,26.282,72.631,19.5,62.782
rajasthan,bhilwara,763.76,680.1,12.3,bhilwara,25.833,74.283,7.73,19.9376
rajasthan,nagaur,535.58,406.1,31.88,nagaur,26.818,74.355,29.1,42.5916
rajasthan,churu,694.21,371.6,86.82,churu,27.733,74.117,66.11,121.5305
rajasthan,tonk,740.01,616.3,20.07,tonk,25.883,75.567,8.9,49.6704
rajasthan,udaipur,959.51,652.6,47.03,udaipur,24.7,73.75,7.9,56.6251
rajasthan,chittaurgarh,965.13,803.8,20.07,chittaurgarh,24.28,74.515,5.05,58.6752
rajasthan,kota,910.15,786.5,15.72,kota,25.446,76.435,4.87,24.8215
rajasthan,sikar,676.51,465.5,45.33,sikar,27.317,75.295,17.64,65.6253
rajasthan,barmer,1018.69,261,290.3,barmer,25.838,72.206,38.6,331.0476
rajasthan,jalor,1077.06,438.1,145.85,jalor,25.34,72.859,46.7,156.6206
rajasthan,pratapgarh,1033.1,995.4,3.79,pratapgarh,23.9,74.813,8.5,24.452
uttar pradesh,pratapgarh,893.77,921.85,34.87666667,pratapgarh,23.9,74.813,8.5,70.62746667
rajasthan,jaipur,699.89,587.1,19.21,jaipur,26.983,75.867,7.72,47.2056
rajasthan,bikaner,520.54,247.6,110.23,bikaner,27.8,73.35,117.9,131.0516
rajasthan,sirohi,859.24,658.1,30.56,sirohi,24.483,72.683,6.85,39.1524
rajasthan,ajmer,666.02,500.4,33.1,ajmer,26.45,75.067,2.62,46.4204
rajasthan,jhunjhunun,728.79,492.6,47.95,jhunjhunun,28.2,75.178,41.4,62.5258
himachal pradesh,hamirpur,1076.11,1435.4,32.34,hamirpur,31.5225,76.5392,2.37,53.8622
uttar pradesh,hamirpur,869.71,825.6,5.34,hamirpur,31.5225,76.5392,2.37,14.0371
himachal pradesh,kangra,1203.98,2003.8,30.04,kangra,31.7958,76.3333,4.58,66.1594
himachal pradesh,una,1006.62,1084.8,25.44,una,31.6722,76.0458,29.58,75.771
himachal pradesh,mandi,1347.52,1553.7,29.055,mandi,31.8292,77.1683,4.7,82.9558
himachal pradesh,bilaspur,1152.49,1258.1,44.38333333,bilaspur,21.8953,82.0322,4.6,90.48293333
chhattisgarh,bilaspur,1505.57,1266.3,18.9,bilaspur,21.8953,82.0322,4.6,64.0671
himachal pradesh,solan,1119.11,1442.2,53.79666667,solan,30.9056,76.84,19.44,109.7521667
himachal pradesh,sirmaur,1345.61,1696.8,63.21,sirmaur,30.524,77.321,8.7,103.5783
nagaland,dimapur,1743.9,1564.1,82.03666667,dimapur,25.8439,93.7742,8.42,99.47566667
uttarakhand,nainital,1602.29,1831.2,44.655,nainital,29.3114,79.21,55.39,60.6779
uttarakhand,dehradun,1591.47,2065.7,56.645,dehradun,30.3006,77.9533,17.58,136.2185
uttarakhand,udham singh nagar,1530.4,1372.1,11.54,udham singh nagar,29.1414,79.1894,3.99,26.844
andhra pradesh,prakasam,1677.02,812.1,106.5,prakasam,15.8272,79.9722,0.82,190.351
andhra pradesh,vizianagaram,1187.12,1155.7,2.72,vizianagaram,18.4873,83.3283,3.6,26.4624
andhra pradesh,west godavari,1641.11,1101.8,48.95,west godavari,16.583,81.3889,1.17,131.0055
andhra pradesh,anantapur,865.14,536.1,61.38,anantapur,13.9605,77.6761,0.57,78.6828
andhra pradesh,kurnool,900.03,655.3,37.35,kurnool,15.7882,77.0835,3.17,64.3509
andhra pradesh,krishna,1198.72,1019.5,17.58,krishna,16.5632,80.648,5.62,53.5416
